,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
54,Piqué,31,Spain,87,87,FC Barcelona,€34M,€240K,RCB
55,L. Sané,22,Germany,86,92,Manchester City,€61M,€195K,LW
56,Bernardo Silva,23,Portugal,86,91,Manchester City,€59.5M,€180K,RW
57,Ederson,24,Brazil,86,90,Manchester City,€41.5M,€125K,GK
58,S. Mané,26,Senegal,86,87,Liverpool,€52M,€195K,LM
59,V. van Dijk,26,Netherlands,86,88,Liverpool,€44.5M,€165K,LCB
60,R. Sterling,23,England,86,89,Manchester City,€56.5M,€195K,RW
61,Roberto Firmino,26,Brazil,86,87,Liverpool,€53M,€195K,CAM
62,R. Varane,25,France,86,91,Real Madrid,€50M,€210K,RCB
63,M. Verratti,25,Italy,86,89,Paris Saint-Germain,€55M,€135K,LCM
64,Alex Sandro,27,Brazil,86,86,Juventus,€36.5M,€160K,LB
65,Douglas Costa,27,Brazil,86,86,Juventus,€46.5M,€175K,LM
66,T. Müller,28,Germany,86,86,FC Bayern München,€45M,€135K,CAM
67,Thiago,27,Spain,86,86,FC Bayern München,€45.5M,€130K,CM
68,M. Reus,29,Germany,86,86,Borussia Dortmund,€43.5M,€100K,LM
69,Azpilicueta,28,Spain,86,86,Chelsea,€35M,€175K,RB
70,L. Bonucci,31,Italy,86,86,Juventus,€30M,€160K,RCB
71,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,€39M,€150K,RCB
72,M. Pjani?,28,Bosnia Herzegovina,86,86,Juventus,€44M,€180K,CDM
73,M. Benatia,31,Morocco,86,86,Juventus,€30M,€160K,CB
74,M. Özil,29,Germany,86,86,Arsenal,€43.5M,€190K,CAM
75,Fernandinho,33,Brazil,86,86,Manchester City,€18M,€185K,CDM
76,Iniesta,34,Spain,86,86,Vissel Kobe,€21.5M,€21K,LF
77,M. Škriniar,23,Slovakia,85,92,Inter,€46.5M,€82K,LCB
78,S. Milinkovi?-Savi?,23,Serbia,85,90,Lazio,€50.5M,€73K,CM
79,Marco Asensio,22,Spain,85,92,Real Madrid,€54M,€215K,RW
80,N. Fekir,24,France,85,89,Olympique Lyonnais,€50M,€92K,CAM
81,Alisson,25,Brazil,85,90,Liverpool,€36.5M,€115K,GK
82,J. Kimmich,23,Germany,85,88,FC Bayern München,€40.5M,€92K,RCM
83,Saúl,23,Spain,85,90,Atlético Madrid,€50.5M,€77K,RCM
84,R. Mahrez,27,Algeria,85,85,Manchester City,€40.5M,€205K,RW
85,D. Alaba,26,Austria,85,87,FC Bayern München,€38M,€110K,LB
86,Koke,26,Spain,85,86,Atlético Madrid,€45M,€88K,LM
87,A. Lacazette,27,France,85,86,Arsenal,€45M,€180K,ST
88,K. Manolas,27,Greece,85,87,Roma,€37.5M,€96K,LCB
89,N. Otamendi,30,Argentina,85,85,Manchester City,€28.5M,€170K,CB
90,Parejo,29,Spain,85,85,Valencia CF,€37M,€66K,RCM
91,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,€37M,€235K,LDM
92,W. Szcz?sny,28,Poland,85,87,Juventus,€32M,€125K,GK
93,A. Sánchez,29,Chile,85,85,Manchester United,€37.5M,€215K,RW
94,Y. Brahimi,28,Algeria,85,85,FC Porto,€39M,€28K,LM
95,J. Boateng,29,Germany,85,85,FC Bayern München,€30M,€115K,RCB
96,A. Vidal,31,Chile,85,85,FC Barcelona,€26M,€205K,CAM
97,I. Periši?,29,Croatia,85,85,Inter,€37.5M,€110K,LM
98,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,€30.5M,€115K,ST
99,S. Khedira,31,Germany,85,85,Juventus,€33M,€160K,RCM
100,Diego Costa,29,Spain,85,85,Atlético Madrid,€38.5M,€100K,LS
101,R. Nainggolan,30,Belgium,85,85,Inter,€35.5M,€105K,CAM
102,Naldo,35,Brazil,85,85,FC Schalke 04,€9M,€38K,CB
103,B. Matuidi,31,France,85,85,Juventus,€26M,€145K,LM
104,Miranda,33,Brazil,85,85,Inter,€15.5M,€96K,CB
105,K. Benzema,30,France,85,85,Real Madrid,€37M,€240K,ST
106,Filipe Luís,32,Brazil,85,85,Atlético Madrid,€21.5M,€81K,LB
107,V. Kompany,32,Belgium,85,85,Manchester City,€22M,€170K,CB
108,Pepe,35,Portugal,85,85,Be?ikta? JK,€9M,€57K,RCB
109,Z. Ibrahimovi?,36,Sweden,85,85,LA Galaxy,€14M,€15K,RS
110,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,€34M,€105K,RCB
111,J. Giménez,23,Uruguay,84,88,Atlético Madrid,€34M,€63K,RCB
112,Alex Telles,25,Brazil,84,87,FC Porto,€32M,€22K,LB
113,A. Laporte,24,France,84,88,Manchester City,€34M,€135K,LCB
114,Bruno Fernandes,23,Portugal,84,88,Sporting CP,€40.5M,€22K,LCM
115,N. Süle,22,Germany,84,90,FC Bayern München,€36.5M,€84K,CB
116,A. Martial,22,France,84,90,Manchester United,€42.5M,€165K,LW
117,D. Alli,22,England,84,90,Tottenham Hotspur,€42.5M,€115K,LCM
118,Fabinho,24,Brazil,84,88,Liverpool,€34M,€120K,CDM
119,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,€35.5M,€90K,LDM
120,William Carvalho,26,Portugal,84,86,Real Betis,€31.5M,€38K,CDM
121,Jorginho,26,Italy,84,87,Chelsea,€38M,€155K,CM
122,F. Thauvin,25,France,84,87,Olympique de Marseille,€39M,€72K,RM
123,Carvajal,26,Spain,84,87,Real Madrid,€31.5M,€185K,RB
124,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,€42M,€93K,ST
125,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,€37M,€125K,LM
126,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,€25M,€72K,GK
127,S. de Vrij,26,Netherlands,84,86,Inter,€31.5M,€88K,CB
128,M. Perin,25,Italy,84,89,Juventus,€29.5M,€105K,GK
129,J. Cuadrado,30,Colombia,84,84,Juventus,€29.5M,€150K,RAM
130,Iago Aspas,30,Spain,84,84,RC Celta,€30M,€45K,ST
131,B. Leno,26,Germany,84,87,Arsenal,€27M,€115K,GK
132,N. Mati?,29,Serbia,84,84,Manchester United,€24M,€165K,CDM
133,L. Hrádecký,28,Finland,84,84,Bayer 04 Leverkusen,€22M,€74K,GK
134,Illarramendi,28,Spain,84,84,Real Sociedad,€31M,€51K,RDM
135,K. Walker,28,England,84,84,Manchester City,€24.5M,€165K,RB
136,I. Gündo?an,27,Germany,84,84,Manchester City,€32M,€175K,CM
137,José Callejón,31,Spain,84,84,Napoli,€27.5M,€105K,RM
138,A. Di María,30,Argentina,84,84,Paris Saint-Germain,€29.5M,€125K,RM
139,M. Mandžuki?,32,Croatia,84,84,Juventus,€25M,€160K,ST
140,Willian,29,Brazil,84,84,Chelsea,€30.5M,€175K,RW
141,Sergio Asenjo,29,Spain,84,85,Villarreal CF,€24M,€42K,GK
142,E. Banega,30,Argentina,84,84,Sevilla FC,€29M,€31K,CDM
143,A. Witsel,29,Belgium,84,84,Borussia Dortmund,€24M,€77K,LCM
144,D. Payet,31,France,84,84,Olympique de Marseille,€27.5M,€75K,CAM
145,Jonas,34,Brazil,84,84,SL Benfica,€16.5M,€25K,ST
146,Sokratis,30,Greece,84,84,Arsenal,€23M,€140K,RCB
147,S. Ruffier,31,France,84,84,AS Saint-Étienne,€19M,€41K,GK
148,Falcao,32,Colombia,84,84,AS Monaco,€25M,€115K,RS
149,K. Schmeichel,31,Denmark,84,84,Leicester City,€19M,€78K,GK
150,Raúl Albiol,32,Spain,84,84,Napoli,€18M,€88K,RCB
151,A. Gómez,30,Argentina,84,84,Atalanta,€30M,€53K,LS
152,A. Barzagli,37,Italy,84,84,Juventus,€4.2M,€95K,CB
153,Quaresma,34,Portugal,84,84,Be?ikta? JK,€15.5M,€80K,RM
154,A. Robben,34,Netherlands,84,84,FC Bayern München,€15.5M,€110K,RM
155,O. Dembélé,21,France,83,92,FC Barcelona,€40M,€155K,RW
156,Gabriel Jesus,21,Brazil,83,92,Manchester City,€41M,€130K,ST
157,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,€28M,€51K,RW
158,Josué Chiamulera,26,Brazil,83,83,Grêmio,€22.5M,€43K,LCB
159,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,€28.5M,€60K,ST
160,P. Kimpembe,22,France,83,89,Paris Saint-Germain,€30.5M,€82K,LCB
161,N. Keïta,23,Guinea,83,88,Liverpool,€34M,€120K,CM
162,C. Tolisso,23,France,83,88,FC Bayern München,€34M,€85K,CM
163,T. Lemar,22,France,83,89,Atlético Madrid,€35.5M,€64K,LM
164,K. Coman,22,France,83,87,FC Bayern München,€34M,€85K,LM
165,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,€29.5M,€67K,CB
166,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,€36.5M,€18K,CAM
167,T. Werner,22,Germany,83,87,RB Leipzig,€34.5M,€70K,RW
168,A. Rabiot,23,France,83,87,Paris Saint-Germain,€33M,€91K,CM
169,L. Goretzka,23,Germany,83,88,FC Bayern München,€34M,€85K,CM
170,Q. Promes,26,Netherlands,83,84,Sevilla FC,€30.5M,€28K,RM
171,H. Ziyech,25,Morocco,83,86,Ajax,€32.5M,€28K,RAM
172,Lucas Vázquez,27,Spain,83,83,Real Madrid,€27M,€205K,RW
173,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,€33M,€20K,LM
174,Gerard Moreno,26,Spain,83,85,Villarreal CF,€32M,€53K,LS
175,Felipe,29,Brazil,83,83,FC Porto,€20M,€22K,RCB
176,M. Kova?i?,24,Croatia,83,89,Chelsea,€35M,€165K,LCM
177,Kepa,23,Spain,83,91,Chelsea,€28.5M,€84K,GK
178,Manu Trigueros,26,Spain,83,84,Villarreal CF,€30M,€49K,RCM
179,S. Gnabry,22,Germany,83,88,FC Bayern München,€34.5M,€85K,ST
180,J. Pickford,24,England,83,88,Everton,€25M,€78K,GK
181,S. Savi?,27,Montenegro,83,86,Atlético Madrid,€26M,€67K,CB
182,J. Stones,24,England,83,87,Manchester City,€28.5M,€125K,RCB
183,Suso,24,Spain,83,86,Milan,€33M,€115K,RW
184,J. Draxler,24,Germany,83,86,Paris Saint-Germain,€32.5M,€91K,CM
185,Felipe Anderson,25,Brazil,83,85,West Ham United,€31.5M,€110K,LM
186,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,€31M,€115K,RM
187,Danilo Pereira,26,Portugal,83,86,FC Porto,€27M,€21K,CDM
188,Nacho Fernández,28,Spain,83,85,Real Madrid,€24.5M,€180K,CB
189,T. Horn,25,Germany,83,87,1. FC Köln,€24M,€25K,GK
190,Allan,27,Brazil,83,83,Napoli,€26.5M,€87K,RCM
191,F. Acerbi,30,Italy,83,83,Lazio,€19M,€64K,CB
192,Sergi Roberto,26,Spain,83,86,FC Barcelona,€26.5M,€170K,RB
193,Rodrigo,27,Spain,83,84,Valencia CF,€30.5M,€57K,ST
194,Pizzi,28,Portugal,83,83,SL Benfica,€25.5M,€22K,LCM
195,K. Kampl,27,Slovenia,83,83,RB Leipzig,€26.5M,€74K,LCM
196,Neto,28,Brazil,83,84,Valencia CF,€21M,€41K,GK
197,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,€21M,€42K,GK
198,I. Gueye,28,Senegal,83,83,Everton,€21M,€125K,RDM
199,H. Mkhitaryan,29,Armenia,83,83,Arsenal,€25.5M,€145K,RM
200,Marcos Alonso,27,Spain,83,84,Chelsea,€24M,€130K,LB
201,D. Subaši?,33,Croatia,83,83,AS Monaco,€13M,€70K,GK
202,K. Glik,30,Poland,83,83,AS Monaco,€19M,€86K,RCB
203,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,€21M,€66K,CDM
204,B. Dost,29,Netherlands,83,83,Sporting CP,€26M,€26K,ST
205,Oscar,26,Brazil,83,84,Shanghai SIPG FC,€30.5M,€29K,LCM
206,M. Balotelli,27,Italy,83,83,OGC Nice,€27.5M,€55K,LS
207,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,€19M,€63K,LCB
208,Giuliano,28,Brazil,83,83,Al Nassr,€26M,€64K,CAM
209,David Luiz,31,Brazil,83,83,Chelsea,€17.5M,€130K,LCB
210,R. Fährmann,29,Germany,83,84,FC Schalke 04,€20M,€38K,GK
211,Juan Mata,30,Spain,83,83,Manchester United,€24.5M,€160K,RM
212,Adán,31,Spain,83,83,Atlético Madrid,€15.5M,€55K,GK
213,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,€16.5M,€74K,GK
214,Y. Sommer,29,Switzerland,83,84,Borussia Mönchengladbach,€20M,€35K,GK
215,Javi Martínez,29,Spain,83,83,FC Bayern München,€20M,€94K,CDM
216,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,€20M,€82K,RB
217,Lucas Leiva,31,Brazil,83,83,Lazio,€17.5M,€64K,LDM
218,S. Mandanda,33,France,83,83,Olympique de Marseille,€13M,€51K,GK
219,Cesc Fàbregas,31,Spain,83,83,Chelsea,€22M,€140K,CM
220,M. Dembélé,30,Belgium,83,83,Tottenham Hotspur,€24M,€120K,CM
221,F. Ribéry,35,France,83,83,FC Bayern München,€11.5M,€72K,LM
222,R. Jarstein,33,Norway,83,83,Hertha BSC,€13M,€33K,GK
223,D. De Rossi,34,Italy,83,83,Roma,€8M,€80K,RDM
224,Pepe Reina,35,Spain,83,83,Milan,€6M,€56K,GK
225,J. Pavlenka,26,Czech Republic,82,85,SV Werder Bremen,€19.5M,€30K,GK
226,M. de Ligt,18,Netherlands,82,91,Ajax,€27M,€11K,RCB
227,Rodri,22,Spain,82,87,Atlético Madrid,€29M,€59K,CM
228,Arthur,21,Brazil,82,90,FC Barcelona,€32.5M,€125K,LCM
229,G. Donnarumma,19,Italy,82,93,Milan,€29M,€23K,GK
230,Rosberto Dourado,30,Brazil,82,82,Atlético Mineiro,€16.5M,€46K,RCM
231,Juiano Mestres,34,Brazil,82,82,Cruzeiro,€6.5M,€39K,RCB
232,Raphaelito Anjos,30,Brazil,82,82,Grêmio,€14M,€32K,GK
233,Gelson Martins,23,Portugal,82,87,Atlético Madrid,€29.5M,€59K,RM
234,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,€29M,€36K,LM
235,L. Torreira,22,Uruguay,82,87,Arsenal,€25M,€98K,LCM
236,Malcom,21,Brazil,82,89,FC Barcelona,€31.5M,€140K,RW
237,Pau López,23,Spain,82,87,Real Betis,€21.5M,€21K,GK
238,L. Hernández,22,France,82,88,Atlético Madrid,€25.5M,€53K,LB
239,C. Lenglet,23,France,82,88,FC Barcelona,€26M,€135K,LCB
240,A. Kramari?,27,Croatia,82,83,TSG 1899 Hoffenheim,€26M,€54K,LCM
241,A. Robertson,24,Scotland,82,87,Liverpool,€24.5M,€98K,LB
242,Dani García,28,Spain,82,83,Athletic Club de Bilbao,€20M,€33K,RCM
243,F. Bernardeschi,24,Italy,82,87,Juventus,€29.5M,€110K,RM
244,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,€30.5M,€68K,LM
245,D. Rugani,23,Italy,82,86,Juventus,€24.5M,€95K,CB
246,Samu Castillejo,23,Spain,82,86,Milan,€29M,€94K,RM
247,João Cancelo,24,Portugal,82,88,Juventus,€25.5M,€95K,RB
248,A. Romagnoli,23,Italy,82,89,Milan,€26.5M,€84K,LCB
249,T. Partey,25,Ghana,82,88,Atlético Madrid,€25.5M,€59K,CDM
250,Fred,25,Brazil,82,84,Manchester United,€26.5M,€140K,CM
251,J. Vardy,31,England,82,82,Leicester City,€20M,€96K,ST
252,A. Belotti,24,Italy,82,87,Torino,€30M,€58K,LS
253,E. Forsberg,26,Sweden,82,83,RB Leipzig,€26M,€67K,LM
254,J. Lingard,25,England,82,83,Manchester United,€26.5M,€140K,CAM
255,F. Vázquez,29,Argentina,82,82,Sevilla FC,€21.5M,€27K,LCM
256,E. Viš?a,28,Bosnia Herzegovina,82,82,Medipol Ba?ak?ehir FK,€22.5M,€40K,RM
257,A. Rüdiger,25,Germany,82,84,Chelsea,€22.5M,€110K,CB
258,A. Florenzi,27,Italy,82,83,Roma,€20.5M,€73K,RB
259,H. Maguire,25,England,82,85,Leicester City,€23.5M,€77K,LCB
260,T. Meunier,26,Belgium,82,83,Paris Saint-Germain,€21M,€87K,RM
261,S. Sané,27,Senegal,82,82,FC Schalke 04,€18.5M,€41K,CB
262,G. Kondogbia,25,Central African Rep.,82,85,Valencia CF,€27.5M,€46K,CM
263,Rafinha,25,Brazil,82,87,FC Barcelona,€29.5M,€165K,CAM
264,Gabriel Paulista,27,Brazil,82,83,Valencia CF,€21M,€44K,LCB
265,Morata,25,Spain,82,85,Chelsea,€28.5M,€135K,ST
266,J. Cillessen,29,Netherlands,82,84,FC Barcelona,€18M,€135K,GK
267,W. Ben Yedder,27,France,82,82,Sevilla FC,€23.5M,€28K,RS
268,C. Bakambu,27,DR Congo,82,83,Beijing Sinobo Guoan FC,€26M,€33K,ST
269,Pablo Sarabia,26,Spain,82,83,Sevilla FC,€26M,€26K,RCM
270,W. Zaha,25,Ivory Coast,82,85,Crystal Palace,€28.5M,€78K,LS
271,Luis Alberto,25,Spain,82,85,Lazio,€28.5M,€67K,CF
272,Jonathan Viera,28,Spain,82,82,Beijing Sinobo Guoan FC,€22.5M,€31K,LF
273,Bartra,27,Spain,82,83,Real Betis,€21M,€32K,CB
274,S. Coates,27,Uruguay,82,83,Sporting CP,€21M,€19K,RCB
275,Willian José,26,Brazil,82,83,Real Sociedad,€26.5M,€44K,ST
276,Mário Fernandes,27,Russia,82,82,PFC CSKA Moscow,€18.5M,€1K,RB
277,Víctor Ruiz,29,Spain,82,83,Villarreal CF,€19.5M,€43K,LCB
278,T. Delaney,26,Denmark,82,83,Borussia Dortmund,€21.5M,€61K,LCM
279,K. Casteels,26,Belgium,82,85,VfL Wolfsburg,€19.5M,€46K,GK
280,M. Götze,26,Germany,82,85,Borussia Dortmund,€27M,€67K,CM
281,S. Mustafi,26,Germany,82,84,Arsenal,€22.5M,€115K,RCB
282,J. Pastore,29,Argentina,82,82,Roma,€21.5M,€84K,CAM
283,Pedro,30,Spain,82,82,Chelsea,€21M,€140K,RW
284,G. Bonaventura,28,Italy,82,82,Milan,€22M,€115K,CM
285,R. Bürki,27,Switzerland,82,85,Borussia Dortmund,€18.5M,€50K,GK
286,Taison,30,Brazil,82,82,Shakhtar Donetsk,€21M,€1K,LM
287,S. Nzonzi,29,France,82,82,Roma,€17M,€77K,CDM
288,Marlos,30,Ukraine,82,82,Shakhtar Donetsk,€21M,€1K,RM
289,A. Ramsey,27,Wales,82,83,Arsenal,€25M,€130K,CAM
290,K. Trippier,27,England,82,82,Tottenham Hotspur,€18.5M,€99K,RB
291,A. Kolarov,32,Serbia,82,82,Roma,€12.5M,€73K,LB
292,G. Sigurðsson,28,Iceland,82,82,Everton,€22.5M,€125K,CAM
293,S. Giovinco,31,Italy,82,82,Toronto FC,€20M,€15K,CF
294,M. Arnautovi?,29,Austria,82,82,West Ham United,€22M,€120K,LS
295,N. Gaitán,30,Argentina,82,82,Dalian YiFang FC,€21M,€22K,CAM
296,J. Henderson,28,England,82,82,Liverpool,€18M,€125K,RCM
297,M. Kruse,30,Germany,82,82,SV Werder Bremen,€21.5M,€45K,ST
298,M. Parolo,33,Italy,82,82,Lazio,€9M,€59K,RDM
299,L. Fejsa,29,Serbia,82,82,SL Benfica,€17M,€18K,CDM
300,A. Rami,32,France,82,82,Olympique de Marseille,€12.5M,€57K,RCB
301,V. ?orluka,32,Croatia,82,82,Lokomotiv Moscow,€12.5M,€1K,LCB
302,G. Wijnaldum,27,Netherlands,82,82,Liverpool,€23M,€130K,CAM
303,F. Fazio,31,Argentina,82,82,Roma,€15M,€73K,LCB
304,O. Giroud,31,France,82,82,Chelsea,€20M,€140K,ST
305,Marcano,31,Spain,82,82,Roma,€15M,€73K,CB
306,A. Guardado,31,Mexico,82,82,Real Betis,€19M,€35K,CM
307,E. Garay,31,Argentina,82,82,Valencia CF,€15M,€44K,RCB
308,Jardel,32,Brazil,82,82,SL Benfica,€12.5M,€17K,LCB
309,S. Sirigu,31,Italy,82,82,Torino,€13.5M,€45K,GK
310,E. Viviano,32,Italy,82,82,Sporting CP,€12.5M,€15K,GK
311,L. Koscielny,32,France,82,82,Arsenal,€12.5M,€115K,CB
312,A. Consigli,31,Italy,82,82,Sassuolo,€13.5M,€52K,GK
313,L. Biglia,32,Argentina,82,82,Milan,€12.5M,€98K,CDM
314,Dani Alves,35,Brazil,82,82,Paris Saint-Germain,€4.8M,€62K,RB
315,David Villa,36,Spain,82,82,New York City FC,€8M,€12K,ST
316,Aduriz,37,Spain,82,82,Athletic Club de Bilbao,€8M,€29K,ST
317,P. ?ech,36,Czech Republic,82,82,Arsenal,€3M,€60K,GK
318,Casillas,37,Spain,82,82,FC Porto,€1.5M,€10K,GK
319,M. Rashford,20,England,81,89,Manchester United,€27M,€110K,LW
320,Laure Santeiro,30,Brazil,81,81,Fluminense,€17M,€40K,CAM
321,L. Bailey,20,Jamaica,81,89,Bayer 04 Leverkusen,€26.5M,€54K,LM
322,M. Akanji,22,Switzerland,81,87,Borussia Dortmund,€21M,€49K,LCB
323,F. de Jong,21,Netherlands,81,89,Ajax,€26M,€19K,LDM
324,Nélson Semedo,24,Portugal,81,86,FC Barcelona,€20M,€125K,RB
325,Pablo Fornals,22,Spain,81,86,Villarreal CF,€24M,€36K,CAM
326,Fabián,22,Spain,81,89,Napoli,€26M,€64K,LM
327,E. Bailly,24,Ivory Coast,81,87,Manchester United,€21M,€105K,CB
328,Dani Ceballos,21,Spain,81,88,Real Madrid,€25M,€120K,LCM
329,H. Lozano,22,Mexico,81,86,PSV,€24M,€22K,LS
330,Morales,30,Spain,81,81,Levante UD,€17M,€33K,LS
331,J. Seri,26,Ivory Coast,81,82,Fulham,€20.5M,€73K,LDM
332,M. Politano,24,Italy,81,84,Inter,€22.5M,€57K,RM
333,M. Brozovi?,25,Croatia,81,84,Inter,€18.5M,€64K,LDM
334,Williams,24,Spain,81,87,Athletic Club de Bilbao,€24.5M,€31K,LW
335,A. Correa,23,Argentina,81,87,Atlético Madrid,€24.5M,€54K,RM
336,A. Christensen,22,Denmark,81,88,Chelsea,€21.5M,€91K,LCB
337,João Mário,25,Portugal,81,84,Inter,€22.5M,€71K,CAM
338,T. Strakosha,23,Albania,81,86,Lazio,€17M,€36K,GK
339,E. Hysaj,24,Albania,81,86,Napoli,€20M,€58K,RB
340,P. Zieli?ski,24,Poland,81,88,Napoli,€24.5M,€64K,RCM
341,Ricardo Pereira,24,Portugal,81,85,Leicester City,€19M,€64K,RB
342,Grimaldo,22,Spain,81,87,SL Benfica,€20.5M,€14K,LB
343,R. Guerreiro,24,Portugal,81,86,Borussia Dortmund,€24M,€54K,LM
344,A. Doucouré,25,France,81,85,Watford,€19.5M,€60K,RDM
345,J. Martínez,25,Venezuela,81,84,Atlanta United,€22.5M,€14K,LS
346,C. Bacca,31,Colombia,81,81,Villarreal CF,€16M,€45K,LS
347,A. Plea,25,France,81,83,Borussia Mönchengladbach,€22M,€40K,LW
348,B. Davies,25,Wales,81,84,Tottenham Hotspur,€18.5M,€87K,LB
349,M. Nastasi?,25,Serbia,81,84,FC Schalke 04,€18.5M,€36K,LCB
350,A. Milik,24,Poland,81,88,Napoli,€25.5M,€71K,CF
351,M. Sabitzer,24,Austria,81,84,RB Leipzig,€22.5M,€54K,LM
